entry_date,exit_date,direction,entry_price,exit_price,return
2016-10-07,2016-10-11,long,185.62445068359375,184.2346954345703,-0.00948691912032831
2016-10-11,2016-11-21,short,184.2346954345703,190.03543090820312,-0.03348557583005805
2016-11-21,2018-03-23,long,190.03543090820312,229.3348846435547,0.20480066631540525
2018-03-23,2018-05-25,short,229.3348846435547,241.86585998535156,-0.05664051123872074
2018-05-25,2018-05-30,long,241.86585998535156,242.27462768554688,-0.0003099404760139805
2018-05-30,2018-06-01,short,242.27462768554688,243.15444946289062,-0.005631506054714439
2018-06-01,2018-10-15,long,243.15444946289062,246.0694122314453,0.00998811197982852
2018-10-15,2019-02-05,short,246.0694122314453,246.33384704589844,-0.0030746350473028553
2019-02-05,2019-06-03,long,246.33384704589844,248.75059509277344,0.007810864710056254
2019-06-03,2019-06-12,short,248.75059509277344,261.27099609375,-0.05233314994204128
2019-06-12,2019-08-08,long,261.27099609375,267.3029479980469,0.02108695566855983
2019-08-08,2019-09-10,short,267.3029479980469,271.4088134765625,-0.017360344916755747
2019-09-10,2019-10-08,long,271.4088134765625,263.8821716308594,-0.029731751778035345
2019-10-08,2019-10-17,short,263.8821716308594,273.7139892578125,-0.03925836257216611
2019-10-17,2020-02-28,long,273.7139892578125,272.2840576171875,-0.007224181798315543
2020-02-28,2020-05-27,short,272.2840576171875,280.6061096191406,-0.0325638606783705
2020-05-27,2020-11-02,long,280.6061096191406,307.83245849609375,0.09502692829427963
2020-11-02,2020-11-09,short,307.83245849609375,330.5423278808594,-0.07577347241325366
2020-11-09,2021-09-30,long,330.5423278808594,405.7060241699219,0.22539507152062682
2021-09-30,2021-10-21,short,405.7060241699219,428.8208312988281,-0.05897427632779018
2021-10-21,2022-01-21,long,428.8208312988281,415.51800537109375,-0.033021874304572124
2022-01-21,2022-04-04,short,415.51800537109375,434.7191162109375,-0.04821005730592947
2022-04-04,2022-04-11,long,434.7191162109375,418.65509033203125,-0.03895265581813419
2022-04-11,2022-08-03,short,418.65509033203125,396.1200256347656,0.05182727982452879
2022-08-03,2022-09-22,long,396.1200256347656,359.1385498046875,-0.09535926849650399
2022-09-22,2022-11-15,short,359.1385498046875,382.4303283691406,-0.06685457653354127
2022-11-15,2022-12-28,long,382.4303283691406,363.1401062011719,-0.05244114113603688
2022-12-28,2023-01-09,short,363.1401062011719,373.9381103515625,-0.03173509112873575
2023-01-09,2023-03-14,long,373.9381103515625,377.6691589355469,0.007977716848589153
2023-03-14,2023-03-31,short,377.6691589355469,396.20166015625,-0.05107072971734472
2023-03-31,2023-09-22,long,396.20166015625,419.5762939453125,0.05699680930121355
2023-09-22,2023-11-20,short,419.5762939453125,442.815673828125,-0.05738773333519533
2023-11-20,2024-04-25,long,442.815673828125,494.3264465332031,0.11432554073745722
2024-04-25,2024-05-07,short,494.3264465332031,507.7280578613281,-0.029110852397464908
2024-05-07,2024-08-07,long,507.7280578613281,510.8631896972656,0.004174824864206686
2024-08-07,2024-08-16,short,510.8631896972656,545.9772338867188,-0.0707347315242296
2024-08-16,2025-01-14,long,545.9772338867188,577.1329956054688,0.055064214009359784
2025-01-14,2025-01-21,short,577.1329956054688,597.8117065429688,-0.03783006186607996
2025-01-21,2025-02-28,long,597.8117065429688,589.018798828125,-0.016708490346720478
2025-02-28,2025-05-15,short,589.018798828125,587.0919189453125,0.0012713385152495977
2025-05-15,2025-10-20,long,587.0919189453125,671.2999877929688,0.1414325122357888
