entry_date,exit_date,direction,entry_price,exit_price,return
2016-06-24,2016-07-08,short,174.5567626953125,182.63880920410156,-0.04830039182667596
2016-07-08,2016-09-09,long,182.63880920410156,183.1798858642578,0.0009625503063348867
2016-09-09,2017-09-11,short,183.1798858642578,218.38938903808594,-0.19421271488245986
2017-09-11,2018-02-05,long,218.38938903808594,233.6249237060547,0.06776316356337145
2018-02-05,2019-06-20,short,233.6249237060547,268.0386047363281,-0.14930312367516277
2019-06-20,2019-08-02,long,268.0386047363281,266.3926086425781,-0.008140891888947044
2019-08-02,2020-10-12,short,266.3926086425781,328.5566711425781,-0.2353550574723573
2020-10-12,2021-09-20,long,328.5566711425781,410.33843994140625,0.24691221509648997
2021-09-20,2022-07-28,short,410.33843994140625,388.110595703125,0.05216953927459306
2022-07-28,2022-08-31,long,388.110595703125,377.7021789550781,-0.028818172096513744
2022-08-31,2023-11-14,short,377.7021789550781,437.4250183105469,-0.1601215112941455
2023-11-14,2024-04-15,long,437.4250183105469,495.2690124511719,0.13023750750250654
2024-04-15,2025-05-12,short,495.2690124511719,579.66455078125,-0.17240342966823227
2025-05-12,2025-10-20,long,579.66455078125,671.2999877929688,0.1560835621019363
