filter,roe_filter,revenue_filter,ema_period,total_return,sharpe,max_dd,trades,stopped,stop_pct,win_rate
No Filters (Baseline),False,False,,20066.542590684923,1.7992302222880714,-36.08614720906543,1172,894,76.27986348122867,22.525597269624573
ROE > 0,True,False,,1344.9010413607227,1.9009767845798982,-28.562252540670602,1513,920,60.806345009914075,37.012557832121615
Revenue Growth > 0,False,True,,2091.3172071676267,1.791416548646448,-37.57023357607538,1394,897,64.34720229555236,33.715925394548066
ROE + Revenue > 0,True,True,,490.6849220394843,1.529286093121361,-35.18514157595253,1579,904,57.25142495250159,40.215326155794806
EMA20,False,False,20.0,3509.130355080086,1.8294951039958338,-30.907198908813577,1929,1408,72.99118714359773,25.45360290305858
EMA50,False,False,50.0,5864.328428949662,1.9840121976427214,-29.56417726019455,1921,1393,72.51431546069756,25.923997917751173
EMA100,False,False,100.0,5545.389806393821,1.9899858251675153,-29.56417726019454,1918,1362,71.01147028154328,27.32012513034411
EMA200,False,False,200.0,3923.0892411952036,1.9432860857460312,-31.408372679785057,1911,1325,69.33542647828362,29.04238618524333
ROE + EMA20,True,False,20.0,768.5152369264283,1.7321186589943374,-28.5084512293675,1802,1102,61.1542730299667,36.18201997780244
ROE + EMA50,True,False,50.0,780.6878137181166,1.7624745721348407,-28.50845122936751,1758,1077,61.262798634812285,36.063708759954494
ROE + EMA100,True,False,100.0,545.8966280788405,1.6164668621941145,-28.50845122936751,1753,1056,60.23958927552767,37.13633770678836
ROE + EMA200,True,False,200.0,842.375885334979,1.9087733005640644,-27.793950645225117,1745,1032,59.14040114613181,38.33810888252149
ROE + Rev + EMA20,True,True,20.0,353.56762875173,1.6147057189140366,-27.47972608646947,1658,944,56.93606755126659,39.86731001206273
ROE + Rev + EMA50,True,True,50.0,288.1882664887113,1.4041518795665184,-27.48157805970689,1702,984,57.81433607520564,39.247943595769684
ROE + Rev + EMA100,True,True,100.0,310.4853773108998,1.465947693397236,-32.41745430168822,1652,960,58.111380145278446,39.04358353510896
