config,return,sharpe,max_dd,trades,stopped,stop_pct,win_rate,avg_win,avg_loss
Baseline (3% fixed),20066.542590684923,1.7992302222880714,-36.08614720906543,1172,894,76.27986348122867,22.525597269624573,31.286191994987846,-6.968465621274477
1% fixed stop,22200.096283596737,1.7697962695235026,-42.06271731950783,1181,993,84.08128704487721,15.664690939881456,35.77184222916085,-5.206352254359061
2% fixed stop,15799.000857466202,1.7232118776132197,-36.40153441077722,1179,944,80.06785411365564,19.338422391857506,31.490550951363147,-6.089202510648601
5% fixed stop,13573.778474111086,1.7277219153301095,-36.0861472090654,1166,807,69.21097770154374,28.55917667238422,28.08498847710399,-8.727731150235776
10% fixed stop,4746.330158883486,1.718851073953991,-34.241959314840436,1160,625,53.879310344827594,37.8448275862069,25.45410249498206,-12.591919540831677
3% trailing,820344.5808281804,6.720899032756815,-4.377005546994655,1210,1198,99.00826446280992,38.099173553719005,13.444970641331428,-6.082216144411214
5% trailing,261533.92172504918,5.91088769312982,-5.574200329726603,1210,1171,96.77685950413223,37.1900826446281,15.933424929417047,-7.103395247907735
10% trailing,135294.89436879967,3.0653645585280085,-18.7908069766553,1200,999,83.25,38.25,21.40094306362399,-10.183167770359443
3% + High Vol,1179.1747005212335,1.4617981479704896,-36.08614720906541,918,700,76.25272331154684,22.33115468409586,26.14962565053603,-6.4322783340881315
3% + Low Vol,181.3103287908327,1.6183215871390622,-18.508706522537057,1329,717,53.95033860045147,42.06170052671182,9.042162474495823,-4.319511107156088
3% trail + High Vol,25937.325595846887,6.9300762767595145,-4.377005546994655,942,933,99.04458598726114,37.15498938428875,10.62606604699549,-5.225644965591422
3% trail + Low Vol,911.621341302311,4.674763877600507,-5.129256032712911,1384,1237,89.378612716763,44.21965317919075,5.803146723782714,-3.0597701214519533
EMA50 + 3% fixed,5864.328428949662,1.9840121976427214,-29.56417726019455,1921,1393,72.51431546069756,25.923997917751173,23.77995106326661,-6.481718987873998
